"","domain","phylum","class","order","family","genus","species"
"ASV2199","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","unclassified_Amycolatopsis"
"ASV2200","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora","unclassified_Actinomycetospora"
"ASV2201","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","unclassified_Lachnospiraceae","unclassified_Lachnospiraceae"
"ASV2202","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria","unclassified_Lechevalieria"
"ASV2203","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","unclassified_Micromonosporaceae","unclassified_Micromonosporaceae"
"ASV2204","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus","unclassified_Geodermatophilus"
"ASV2205","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","unclassified_Segetibacter"
"ASV2206","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","unclassified_Sphingomonas"
"ASV2207","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","unclassified_Acetobacteraceae","unclassified_Acetobacteraceae"
"ASV2208","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","unclassified_Micromonosporaceae","unclassified_Micromonosporaceae"
"ASV2209","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus","unclassified_Craurococcus-Caldovatus"
"ASV2210","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","unclassified_Oxalobacteraceae","unclassified_Oxalobacteraceae"
"ASV2211","Bacteria","Actinobacteriota","Actinobacteria","unclassified_Actinobacteria","unclassified_Actinobacteria","unclassified_Actinobacteria","unclassified_Actinobacteria"
"ASV2212","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Pygmaiobacter","unclassified_Pygmaiobacter"
"ASV2213","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","unclassified_Bacteroidales","unclassified_Bacteroidales","unclassified_Bacteroidales"
"ASV2214","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Candidatus Soleaferrea","unclassified_Candidatus Soleaferrea"
"ASV2215","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","unclassified_Rhodoplanes"
"ASV2216","Bacteria","Firmicutes","Clostridia","unclassified_Clostridia","unclassified_Clostridia","unclassified_Clostridia","unclassified_Clostridia"
"ASV2217","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","unclassified_Paenibacillus"
"ASV2218","Bacteria","Actinobacteriota","Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia"
"ASV2219","Bacteria","Bacteroidota","Bacteroidia","unclassified_Bacteroidia","unclassified_Bacteroidia","unclassified_Bacteroidia","unclassified_Bacteroidia"
"ASV2220","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","unclassified_Bacillaceae","unclassified_Bacillaceae"
"ASV2221","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","unclassified_Lachnospiraceae","unclassified_Lachnospiraceae"
"ASV2222","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","unclassified_Peptostreptococcales-Tissierellales","unclassified_Peptostreptococcales-Tissierellales","unclassified_Peptostreptococcales-Tissierellales"
"ASV2223","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","unclassified_Solirubrobacteraceae","unclassified_Solirubrobacteraceae"
"ASV2224","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified_Mitochondria","unclassified_Mitochondria"
"ASV2225","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiales Incertae Sedis","Motilibacter","unclassified_Motilibacter"
"ASV2226","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unclassified_Pseudomonas"
"ASV2227","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","unclassified_Flavisolibacter"
"ASV2228","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified_Mitochondria","unclassified_Mitochondria"
"ASV2229","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","ZOR0006","unclassified_ZOR0006"
"ASV2230","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV2231","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus","unclassified_Oceanobacillus"
"ASV2232","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","unclassified_Solirubrobacteraceae","unclassified_Solirubrobacteraceae"
"ASV2233","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified_Mitochondria","unclassified_Mitochondria"
"ASV2234","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","unclassified_Duganella"
"ASV2235","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter","unclassified_Dyadobacter"
"ASV2236","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"ASV2237","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Larkinella","unclassified_Larkinella"
"ASV2238","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria"
"ASV2239","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","unclassified_Microvirga"
"ASV2240","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","unclassified_Sphingobacteriaceae","unclassified_Sphingobacteriaceae"
"ASV2241","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","unclassified_Sphingomonadaceae","unclassified_Sphingomonadaceae"
"ASV2242","Bacteria","Proteobacteria","Alphaproteobacteria","unclassified_Alphaproteobacteria","unclassified_Alphaproteobacteria","unclassified_Alphaproteobacteria","unclassified_Alphaproteobacteria"
"ASV2243","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","unclassified_Hymenobacter"
"ASV2244","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","unclassified_Rhizobiaceae","unclassified_Rhizobiaceae"
"ASV2245","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","unclassified_Peptostreptococcales-Tissierellales","Anaerococcus","unclassified_Anaerococcus"
"ASV2246","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unclassified_Staphylococcus"
"ASV2247","Bacteria","Actinobacteriota","Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia","unclassified_Acidimicrobiia"
"ASV2248","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans","unclassified_Jatrophihabitans"
"ASV2249","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","unclassified_Acetobacteraceae","unclassified_Acetobacteraceae"
"ASV2250","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","unclassified_Conexibacter"
